Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
18-Nov-19, BOS (11-2), MIL (10-3), MIA (9-3), TOR (9-4), PHI (8-5), IND (8-6), ORL (6-7), CHO (6-8), BRK (5-8), ATL (4-9) T10, CLE (4-9) T10, DET (4-9) T10, CHI (4-10) T13, NYK (4-10) T13, WAS (3-8)
19-Nov-19, BOS (11-2), MIL (10-3), MIA (9-3), TOR (9-4), PHI (8-5), IND (8-6), ORL (6-7), CHO (6-8), BRK (5-8), ATL (4-9) T10, CLE (4-9) T10, DET (4-9) T10, CHI (4-10) T13, NYK (4-10) T13, WAS (3-8)
20-Nov-19, BOS (11-3) T1, MIL (11-3) T1, MIA (10-3), TOR (10-4), PHI (9-5), IND (8-6), BRK (6-8) T7, ORL (6-8) T7, CHO (6-9), CHI (5-10) T10, WAS (4-8) T10, ATL (4-10) T12, CLE (4-10) T12, DET (4-10) T12, NYK (4-11)
21-Nov-19, MIL (12-3), BOS (11-3), MIA (10-3), TOR (10-4), PHI (9-5), IND (8-6), BRK (6-8) T7, ORL (6-8) T7, CHO (6-9), CHI (5-10) T10, WAS (4-8) T10, ATL (4-10) T12, CLE (4-10) T12, DET (4-10) T12, NYK (4-11)
22-Nov-19, MIL (12-3), MIA (11-3), BOS (11-4), TOR (10-4), PHI (10-5), IND (8-6), BRK (7-8), ORL (6-8), WAS (5-8), CHO (6-10), DET (5-10), CHI (5-11), ATL (4-11) T13, CLE (4-11) T13, NYK (4-11) T13
23-Nov-19, MIL (13-3), BOS (11-4) T2, MIA (11-4) T2, TOR (11-4) T2, PHI (11-5), IND (9-6), BRK (7-8), ORL (6-9), WAS (5-8), CHI (6-11) T10, CHO (6-11) T10, CLE (5-11) T12, DET (5-11) T12, ATL (4-12) T14, NYK (4-12) T14
24-Nov-19, MIL (13-3), BOS (11-4) T2, MIA (11-4) T2, TOR (11-4) T2, PHI (11-5), IND (9-6), BRK (8-8), ORL (6-9), WAS (5-9), CHI (6-11) T10, CHO (6-11) T10, CLE (5-11) T12, DET (5-11) T12, ATL (4-12), NYK (4-13)
25-Nov-19, MIL (14-3), BOS (12-4) T2, MIA (12-4) T2, TOR (12-4) T2, PHI (11-6), IND (10-6), BRK (9-8), ORL (6-10), WAS (5-9), DET (6-11), CHI (6-12) T11, CHO (6-12) T11, CLE (5-12), ATL (4-13) T14, NYK (4-13) T14
26-Nov-19, MIL (14-3), BOS (12-4) T2, MIA (12-4) T2, TOR (12-4) T2, PHI (11-6), IND (10-6), BRK (9-8), ORL (6-10), DET (6-11), CHI (6-12) T10, CHO (6-12) T10, WAS (5-10) T10, CLE (5-12), ATL (4-13) T14, NYK (4-13) T14
27-Nov-19, MIL (15-3), BOS (13-4) T2, TOR (13-4) T2, MIA (12-5), PHI (12-6), IND (11-6), BRK (9-9), ORL (7-10), WAS (6-10), CHO (7-12), DET (6-12), CHI (6-13), CLE (5-13), ATL (4-14) T14, NYK (4-14) T14
28-Nov-19, MIL (15-3), BOS (13-4) T2, TOR (13-4) T2, MIA (12-5), PHI (12-6), IND (11-6), BRK (9-9), ORL (7-10), WAS (6-10), CHO (7-12), DET (6-12), CHI (6-13), CLE (5-13), ATL (4-14) T14, NYK (4-14) T14
29-Nov-19, MIL (16-3), TOR (14-4), BOS (13-5) T3, MIA (13-5) T3, PHI (13-6), IND (12-6), BRK (10-9), CHO (8-12), ORL (7-11), WAS (6-11), DET (6-13), CHI (6-14), CLE (5-14), ATL (4-15) T14, NYK (4-15) T14
30-Nov-19, MIL (17-3), TOR (14-4), BOS (13-5) T3, MIA (13-5) T3, PHI (14-6), IND (12-7), BRK (10-9), ORL (7-11), CHO (8-13), WAS (6-11), DET (6-13), CHI (6-14), CLE (5-14), NYK (4-15), ATL (4-16)
1-Dec-19, MIL (17-3), TOR (15-4), BOS (14-5) T3, MIA (14-5) T3, PHI (14-6), IND (12-7), BRK (10-10), ORL (8-11), CHO (8-13), DET (7-13), WAS (6-12), CHI (6-14), CLE (5-14), ATL (4-16) T14, NYK (4-16) T14
2-Dec-19, MIL (18-3), TOR (15-4), BOS (14-5) T3, MIA (14-5) T3, PHI (15-6), IND (13-7), BRK (10-10), ORL (8-11), CHO (8-14), DET (7-13), CHI (7-14) T11, WAS (6-12) T11, CLE (5-14), ATL (5-16), NYK (4-17)
3-Dec-19, MIL (18-3), MIA (15-5) T2, TOR (15-5) T2, BOS (14-5), PHI (15-6), IND (13-7), BRK (10-10), ORL (9-11), DET (8-13), CHO (8-14), CHI (7-14), WAS (6-13), CLE (5-15), ATL (5-16), NYK (4-17)
4-Dec-19, MIL (19-3), BOS (15-5) T2, TOR (15-5) T2, MIA (15-6) T4, PHI (15-6) T4, IND (14-7), BRK (11-10), ORL (10-11), CHO (9-14), CHI (8-14) T10, DET (8-14) T10, WAS (6-13), CLE (5-15), ATL (5-17), NYK (4-17)
5-Dec-19, MIL (19-3), BOS (15-5), MIA (15-6) T3, TOR (15-6) T3, PHI (15-7), IND (14-7), BRK (11-10), ORL (10-11), CHO (9-14), CHI (8-14) T10, DET (8-14) T10, WAS (7-13), CLE (5-15), ATL (5-17), NYK (4-18)
6-Dec-19, MIL (20-3), BOS (16-5), MIA (16-6), TOR (15-6), PHI (15-7), IND (14-8), BRK (12-10), ORL (11-11), DET (9-14), CHO (9-15), CHI (8-15), WAS (7-14), CLE (5-16), ATL (5-17), NYK (4-18)
7-Dec-19, MIL (20-3), BOS (16-5), MIA (16-6), TOR (15-6), PHI (16-7), IND (15-8), BRK (12-10), ORL (11-11), DET (9-14), CHO (9-15), CHI (8-15), WAS (7-14), ATL (5-17) T13, CLE (5-17) T13, NYK (4-19)
8-Dec-19, MIL (20-3), BOS (16-5), MIA (17-6), PHI (17-7), TOR (15-7), IND (15-8), BRK (13-10), ORL (11-11), DET (9-14), CHO (9-16), CHI (8-16), WAS (7-15), ATL (6-17), CLE (5-17), NYK (4-19)
9-Dec-19, MIL (21-3), BOS (17-5), MIA (17-6), PHI (17-7), TOR (16-7), IND (15-9), BRK (13-10), ORL (11-12), DET (10-14), CHO (9-16), CHI (8-17), WAS (7-15), ATL (6-17), CLE (5-18), NYK (4-19)
10-Dec-19, MIL (21-3), BOS (17-5), MIA (18-6), PHI (18-7), TOR (16-7), IND (15-9), BRK (13-10), ORL (11-12), DET (10-14), CHO (10-16), CHI (8-17), WAS (7-16), ATL (6-18), CLE (5-18), NYK (4-20)
11-Dec-19, MIL (22-3), MIA (18-6), BOS (17-6), PHI (18-7), TOR (16-8), IND (16-9), BRK (13-11), ORL (11-13), DET (10-14), CHO (11-16), CHI (9-17), WAS (7-16), ATL (6-19), CLE (5-19), NYK (5-20)
12-Dec-19, MIL (22-3), MIA (18-6), PHI (19-7), BOS (17-7), TOR (16-8), IND (16-9), BRK (13-11), ORL (11-13), CHO (11-16), DET (10-15), CHI (9-17), WAS (7-16), ATL (6-19) T13, CLE (6-19) T13, NYK (5-20)
13-Dec-19, MIL (23-3), PHI (20-7), MIA (18-7), BOS (17-7), TOR (16-8), IND (17-9), BRK (13-11), ORL (11-14), CHO (12-16), DET (10-15), CHI (9-18), WAS (7-16), CLE (6-19), ATL (6-20) T14, NYK (6-20) T14
14-Dec-19, MIL (24-3), PHI (20-7), MIA (19-7), BOS (17-7), TOR (17-8), IND (17-9), BRK (13-12), ORL (11-14), CHO (12-16), DET (11-15), CHI (10-18), WAS (7-17), ATL (6-20) T13, CLE (6-20) T13, NYK (6-20) T13
15-Dec-19, MIL (24-3), MIA (19-7), PHI (20-8), BOS (17-7), TOR (17-8), IND (18-9), BRK (14-12), ORL (12-14), DET (11-15), CHO (12-17), CHI (10-18), WAS (7-17), CLE (6-20), ATL (6-21) T14, NYK (6-21) T14
16-Dec-19, MIL (24-4), PHI (20-8), BOS (17-7), MIA (19-8), TOR (18-8), IND (18-9), BRK (14-12), ORL (12-14), CHO (12-17), DET (11-16), CHI (10-19), WAS (8-17), ATL (6-21) T13, CLE (6-21) T13, NYK (6-21) T13
17-Dec-19, MIL (24-4), PHI (20-8), BOS (17-7), MIA (19-8), TOR (18-8), IND (19-9), BRK (15-12), ORL (12-15), CHO (13-17), DET (11-16), CHI (10-19), WAS (8-17), NYK (7-21), CLE (6-21), ATL (6-22)
18-Dec-19, MIL (24-4), BOS (18-7), MIA (20-8), TOR (19-8), PHI (20-9), IND (19-9), BRK (15-12), ORL (12-16), CHO (13-18), DET (11-17), CHI (11-19), WAS (8-18), CLE (7-21) T13, NYK (7-21) T13, ATL (6-22)
19-Dec-19, MIL (25-4), BOS (18-7), MIA (20-8), TOR (19-8), PHI (20-9), IND (19-9), BRK (15-13), ORL (12-16), CHO (13-18), DET (11-17), CHI (11-19), WAS (8-18), CLE (7-21) T13, NYK (7-21) T13, ATL (6-23)
20-Dec-19, MIL (25-4), BOS (19-7), MIA (21-8), TOR (20-8), IND (20-9), PHI (20-10), BRK (15-13), CHO (13-18), ORL (12-17), DET (11-18), CHI (11-19), WAS (8-19), CLE (8-21), NYK (7-22), ATL (6-23)
21-Dec-19, MIL (26-4), BOS (19-7), MIA (21-8), TOR (20-8), IND (20-9), PHI (21-10), BRK (16-13), ORL (12-17), CHO (13-19), CHI (12-19), DET (11-19), WAS (8-20), CLE (8-21), NYK (7-23), ATL (6-24)
22-Dec-19, MIL (27-4), BOS (20-7), MIA (21-8) T3, TOR (21-8) T3, PHI (21-10), IND (20-10), BRK (16-13), ORL (12-17), CHO (13-20), CHI (12-19), DET (11-19), WAS (8-20), CLE (8-21), NYK (7-23), ATL (6-24)
23-Dec-19, MIL (27-4), BOS (20-7), MIA (22-8), TOR (21-9), PHI (22-10), IND (21-10), BRK (16-13), ORL (13-17), CHO (13-20), CHI (12-20), DET (11-20), WAS (9-20), CLE (9-21), NYK (7-24), ATL (6-25)
24-Dec-19, MIL (27-4), BOS (20-7), MIA (22-8), TOR (21-9), PHI (22-10), IND (21-10), BRK (16-13), ORL (13-17), CHO (13-20), CHI (12-20), DET (11-20), WAS (9-20), CLE (9-21), NYK (7-24), ATL (6-25)
25-Dec-19, MIL (27-5), BOS (21-7), MIA (22-8), PHI (23-10), IND (21-10) T5, TOR (21-10) T5, BRK (16-13), ORL (13-17), CHO (13-20), CHI (12-20), DET (11-20), WAS (9-20), CLE (9-21), NYK (7-24), ATL (6-25)
26-Dec-19, MIL (27-5), BOS (21-7), MIA (22-8), PHI (23-10), IND (21-10) T5, TOR (21-10) T5, BRK (16-14), ORL (13-17), CHO (13-20), CHI (12-20) T10, DET (12-20) T10, CLE (9-21) T12, WAS (9-21) T12, NYK (8-24), ATL (6-25)
27-Dec-19, MIL (28-5), BOS (22-7), MIA (23-8), TOR (21-10), PHI (23-11), IND (21-11), BRK (16-14), ORL (14-17), CHO (13-21), CHI (12-20) T10, DET (12-20) T10, WAS (9-21), CLE (9-22), NYK (8-24), ATL (6-26)
28-Dec-19, MIL (29-5), MIA (24-8), BOS (22-8), TOR (22-10), PHI (23-12), IND (21-12), BRK (16-15), ORL (14-18), CHI (13-20), CHO (13-21), DET (12-21), CLE (10-22), WAS (9-22), NYK (9-24), ATL (6-27)
29-Dec-19, MIL (29-5), MIA (24-8), BOS (22-8), TOR (22-11), PHI (23-12), IND (21-12), BRK (16-15), ORL (14-18), CHI (13-20), CHO (13-22), DET (12-21), CLE (10-22), WAS (9-22), NYK (9-24), ATL (6-27)
30-Dec-19, MIL (30-5), BOS (22-8), MIA (24-9), TOR (22-11), PHI (23-12), IND (21-12), BRK (16-16), ORL (14-19), CHI (13-21), CHO (13-22), DET (12-22), CLE (10-22) T12, WAS (10-22) T12, NYK (9-24), ATL (7-27)
31-Dec-19, MIL (30-5), BOS (23-8), MIA (24-9), TOR (23-11), IND (22-12), PHI (23-13), BRK (16-16), ORL (14-19), CHI (13-21), CHO (13-23), DET (12-22), WAS (10-22), CLE (10-23), NYK (9-24), ATL (7-27)
1-Jan-20, MIL (31-5), BOS (23-8), MIA (24-9), TOR (23-11), IND (22-12), PHI (23-13), BRK (16-16), ORL (15-19), CHI (13-21), CHO (13-23), DET (12-22), CLE (10-23) T12, WAS (10-23) T12, NYK (10-24), ATL (7-27)
2-Jan-20, MIL (31-5), BOS (23-8), MIA (25-9), TOR (23-12), PHI (23-13), IND (22-13), BRK (16-17), ORL (15-19), CHO (14-23), CHI (13-22), DET (12-23), WAS (10-23), CLE (10-24) T13, NYK (10-24) T13, ATL (7-27)
3-Jan-20, MIL (31-5), BOS (24-8), MIA (25-10), TOR (23-12), IND (22-13), PHI (23-14), BRK (16-17), ORL (16-19), CHO (14-23), CHI (13-22), DET (12-23), CLE (10-24) T12, WAS (10-24) T12, NYK (10-25), ATL (7-28)
4-Jan-20, MIL (32-5), BOS (25-8), MIA (25-10), TOR (24-12), PHI (23-14), IND (22-14), BRK (16-18), ORL (16-20), CHO (15-23), CHI (13-23) T10, DET (13-23) T10, WAS (11-24), CLE (10-25) T13, NYK (10-25) T13, ATL (8-28)
5-Jan-20, MIL (32-5), BOS (25-8), MIA (26-10), TOR (24-12), PHI (23-14), IND (22-14), BRK (16-18), ORL (16-20), CHO (15-23), CHI (13-23), DET (13-24), WAS (11-24), CLE (10-26) T13, NYK (10-26) T13, ATL (8-28)
6-Jan-20, MIL (32-6), BOS (25-9), MIA (26-10), TOR (24-12), PHI (24-14), IND (23-14), ORL (17-20), BRK (16-19), CHO (15-24), CHI (13-24) T10, DET (13-24) T10, WAS (12-24), CLE (10-26) T13, NYK (10-26) T13, ATL (8-29)
7-Jan-20, MIL (32-6), BOS (25-9), MIA (26-10), TOR (24-13), PHI (24-14), IND (23-14), ORL (17-20), BRK (16-20), CHO (15-24), DET (14-24), CHI (13-24), WAS (12-24), CLE (10-27) T13, NYK (10-27) T13, ATL (8-29)
8-Jan-20, MIL (33-6), MIA (27-10), BOS (25-10), TOR (25-13), PHI (24-14), IND (23-15), ORL (18-20), BRK (16-20), CHO (15-25), DET (14-24), CHI (13-25), WAS (12-25), CLE (10-27), NYK (10-28), ATL (8-30)
9-Jan-20, MIL (33-6), MIA (27-10), BOS (25-11), TOR (25-13), PHI (25-14), IND (23-15), ORL (18-20), BRK (16-20), CHO (15-25), DET (14-25), CHI (13-25), WAS (12-25), CLE (11-27), NYK (10-28), ATL (8-30)
10-Jan-20, MIL (34-6), MIA (27-11), BOS (25-11), TOR (25-13), PHI (25-14), IND (24-15), ORL (18-21), BRK (17-20), CHO (15-26), DET (14-25), WAS (13-25), CHI (13-26), CLE (11-27), NYK (10-29), ATL (8-31)
11-Jan-20, MIL (35-6), MIA (27-11), BOS (26-11), TOR (25-13), PHI (25-15), IND (24-15), ORL (18-21), BRK (17-20), CHO (15-26), CHI (14-26) T10, DET (14-26) T10, WAS (13-25), CLE (12-27), NYK (10-29), ATL (8-31)
12-Jan-20, MIL (35-6), BOS (26-11), MIA (27-12), TOR (25-14), PHI (25-15), IND (24-15), BRK (18-20), ORL (18-21), CHO (15-27), CHI (14-26) T10, DET (14-26) T10, WAS (13-26), CLE (12-27), NYK (11-29), ATL (8-32)
13-Jan-20, MIL (35-6), BOS (27-11), MIA (27-12), TOR (25-14), IND (25-15), PHI (25-16), ORL (19-21), BRK (18-20), CHO (15-28), CHI (14-27) T10, DET (14-27) T10, WAS (13-26), CLE (12-28), NYK (11-29), ATL (8-32)
14-Jan-20, MIL (36-6), BOS (27-11), MIA (27-12), TOR (25-14), IND (25-15), PHI (25-16), ORL (19-21), BRK (18-21), CHO (15-28), CHI (14-27) T10, DET (14-27) T10, WAS (13-26), CLE (12-29), NYK (11-30), ATL (9-32)
15-Jan-20, MIL (36-6), MIA (28-12), BOS (27-12), TOR (26-14), IND (26-15), PHI (26-16), ORL (20-21), BRK (18-22), CHI (15-27) T9, DET (15-27) T9, CHO (15-29), WAS (13-27), CLE (12-29), NYK (11-30), ATL (9-32)
16-Jan-20, MIL (37-6), MIA (28-12), BOS (27-13), TOR (26-14), IND (26-15), PHI (26-16), ORL (20-22), BRK (18-22), CHI (15-27) T9, DET (15-27) T9, CHO (15-29), WAS (13-27), CLE (12-29), NYK (11-31), ATL (9-32)
17-Jan-20, MIL (37-6), MIA (29-12), BOS (27-13), TOR (27-14), IND (27-15), PHI (27-16), ORL (20-22), BRK (18-22), DET (15-27), CHI (15-28), CHO (15-29), WAS (13-28), CLE (12-30), NYK (11-31), ATL (10-32)
18-Jan-20, MIL (38-6), MIA (29-12), TOR (28-14), BOS (27-14), IND (27-15), PHI (28-16), ORL (20-23), BRK (18-23), DET (16-27), CHI (16-28), CHO (15-29), WAS (13-28), CLE (12-31), NYK (11-32), ATL (10-33)
19-Jan-20, MIL (38-6), MIA (29-13), TOR (28-14), BOS (27-14), IND (28-15), PHI (28-16), ORL (20-23), BRK (18-23), DET (16-27), CHI (16-28), CHO (15-29), WAS (13-28), CLE (12-31), NYK (11-32), ATL (10-33)
20-Jan-20, MIL (39-6), MIA (30-13), TOR (29-14), BOS (28-14), PHI (29-16), IND (28-16), ORL (21-23), BRK (18-24), DET (16-28), CHI (16-29), CHO (15-30) T11, WAS (14-28) T11, CLE (12-32) T13, NYK (12-32) T13, ATL (10-34)
21-Jan-20, MIL (39-6), MIA (30-13), TOR (29-14), BOS (28-14), PHI (29-16), IND (28-16), ORL (21-23), BRK (18-24), DET (16-28), CHI (16-29), CHO (15-30) T11, WAS (14-28) T11, CLE (12-32) T13, NYK (12-32) T13, ATL (10-34)
22-Jan-20, MIL (39-6), MIA (31-13), TOR (30-14), BOS (29-14), IND (29-16), PHI (29-17), ORL (21-24), BRK (18-24), DET (17-28), CHI (17-29), CHO (15-30), WAS (14-29), CLE (12-32), NYK (12-33), ATL (11-34)
23-Jan-20, MIL (39-6), MIA (31-13), TOR (30-14), BOS (29-14), IND (29-16), PHI (29-17), ORL (21-24), BRK (18-25), DET (17-28), CHI (17-29), WAS (15-29), CHO (15-30), CLE (12-33) T13, NYK (12-33) T13, ATL (11-34)
24-Jan-20, MIL (40-6), MIA (31-14) T2, TOR (31-14) T2, BOS (30-14), IND (30-16), PHI (29-17), ORL (21-25), BRK (18-25), DET (17-29), CHI (17-30), WAS (15-29), CHO (15-31), CLE (12-33), NYK (12-34), ATL (11-35)
25-Jan-20, MIL (40-6), MIA (31-14) T2, TOR (31-14) T2, BOS (30-14), IND (30-16), PHI (30-17), ORL (21-25), BRK (19-25), CHI (18-30), DET (17-30), WAS (15-29), CHO (15-31), CLE (12-34) T13, NYK (12-34) T13, ATL (11-35)
26-Jan-20, MIL (40-6), TOR (32-14), MIA (31-14), BOS (30-15), IND (30-17) T5, PHI (30-17) T5, ORL (21-26), BRK (19-26), CHI (18-30), DET (17-30), WAS (15-30), CHO (15-31), NYK (13-34), CLE (12-34), ATL (12-35)
27-Jan-20, MIL (40-6), MIA (32-14) T2, TOR (32-14) T2, BOS (30-15), IND (30-17) T5, PHI (30-17) T5, ORL (21-27), BRK (19-26), CHI (19-30), DET (17-31), WAS (15-30), CHO (15-31), CLE (13-34) T13, NYK (13-34) T13, ATL (12-35)
28-Jan-20, MIL (41-6), TOR (33-14), MIA (32-15), BOS (31-15), PHI (31-17), IND (30-17), ORL (21-27), BRK (19-26), CHI (19-30), DET (17-31), CHO (16-31), WAS (15-31), CLE (13-35) T13, NYK (13-35) T13, ATL (12-36)
29-Jan-20, MIL (41-6), TOR (33-14), MIA (32-15), BOS (31-15), IND (31-17) T5, PHI (31-17) T5, ORL (21-27), BRK (20-26), CHI (19-31), DET (17-32), CHO (16-31), WAS (15-31), CLE (13-35), NYK (13-36), ATL (12-36)
30-Jan-20, MIL (41-6), TOR (34-14), BOS (32-15) T3, MIA (32-15) T3, IND (31-17), PHI (31-18), ORL (21-27), BRK (20-26), CHI (19-31), DET (17-32), WAS (16-31), CHO (16-32), ATL (13-36) T13, CLE (13-36) T13, NYK (13-36) T13
31-Jan-20, MIL (41-7), TOR (35-14), BOS (32-15) T3, MIA (32-15) T3, IND (31-17), PHI (31-18), BRK (21-26), ORL (21-27), CHI (19-32), WAS (16-31), DET (17-33), CHO (16-32), ATL (13-36) T13, CLE (13-36) T13, NYK (13-36) T13
1-Feb-20, MIL (41-7), TOR (35-14), BOS (33-15) T3, MIA (33-15) T3, IND (31-18), PHI (31-19), BRK (21-27), ORL (21-28), CHI (19-32), WAS (17-31), DET (17-33), CHO (16-33), NYK (14-36), ATL (13-37) T14, CLE (13-37) T14
2-Feb-20, MIL (42-7), TOR (36-14), BOS (33-15) T3, MIA (33-15) T3, IND (31-18), PHI (31-19), BRK (21-27), ORL (21-28), CHI (19-33), WAS (17-31), DET (18-33), CHO (16-33), NYK (14-36), ATL (13-37) T14, CLE (13-37) T14
3-Feb-20, MIL (42-7), TOR (36-14), BOS (34-15) T3, MIA (34-15) T3, IND (31-19), PHI (31-20), BRK (22-27), ORL (22-28), CHI (19-33), WAS (17-32), DET (18-34), CHO (16-34), NYK (15-36), ATL (13-38) T14, CLE (13-38) T14
4-Feb-20, MIL (43-7), TOR (36-14), BOS (34-15) T3, MIA (34-15) T3, IND (31-19), PHI (31-20), BRK (22-27), ORL (22-28), CHI (19-33), WAS (17-32), DET (18-34), CHO (16-35), NYK (15-36), ATL (13-38) T14, CLE (13-38) T14
5-Feb-20, MIL (43-7), TOR (37-14), BOS (35-15), MIA (34-16), IND (31-20) T5, PHI (31-20) T5, BRK (23-27), ORL (22-29), CHI (19-33), DET (19-34), WAS (17-32), CHO (16-35), NYK (15-36), ATL (14-38), CLE (13-39)
6-Feb-20, MIL (44-7), TOR (37-14), BOS (35-15), MIA (34-16), IND (31-20), PHI (31-21), BRK (23-27), ORL (22-30), CHI (19-34) T9, DET (19-34) T9, WAS (17-32), CHO (16-35), NYK (16-36), ATL (14-38), CLE (13-39)
7-Feb-20, MIL (44-7), TOR (38-14), BOS (36-15), MIA (34-17), PHI (32-21), IND (31-21), BRK (23-27), ORL (22-30), WAS (18-32), CHI (19-34), DET (19-35), CHO (16-35), NYK (16-36), ATL (14-39), CLE (13-39)
8-Feb-20, MIL (45-7), TOR (39-14), BOS (36-15), MIA (34-17), PHI (32-21), IND (31-22), BRK (23-28), ORL (22-31), WAS (18-32), CHI (19-34), DET (19-36), NYK (17-36), CHO (16-36), ATL (14-39), CLE (13-39)
9-Feb-20, MIL (45-7), TOR (39-14), BOS (37-15), MIA (34-18), PHI (33-21), IND (31-22), BRK (23-28), ORL (22-31), WAS (18-33), CHI (19-35), DET (19-36), NYK (17-37), CHO (16-36), ATL (15-39), CLE (13-40)
